ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-01,23.500324,9.022799440294941,24.401587662295285,23.500324,23.500324,-7.331986189702816,-7.331986189702816,-7.331986189702816,-0.30328524799278933,-0.30328524799278933,-0.30328524799278933,-7.028700941710027,-7.028700941710027,-7.028700941710027,0.0,0.0,0.0,16.16833781029718
2015-01-02,23.504897948858446,10.469888312332078,26.068458284849584,23.504897948858446,23.504897948858446,-5.326498350058277,-5.326498350058277,-5.326498350058277,1.750331312021132,1.750331312021132,1.750331312021132,-7.076829662079409,-7.076829662079409,-7.076829662079409,0.0,0.0,0.0,18.17839959880017
2015-01-03,23.509471897716896,12.445293196854573,28.1805370827999,23.509471897716896,23.509471897716896,-3.708681996612051,-3.708681996612051,-3.708681996612051,3.4283246998592,3.4283246998592,3.4283246998592,-7.137006696471251,-7.137006696471251,-7.137006696471251,0.0,0.0,0.0,19.800789901104846
2015-01-04,23.514045846575343,12.956677685468064,28.58439781004001,23.514045846575343,23.514045846575343,-2.701615499381858,-2.701615499381858,-2.701615499381858,4.506004019543846,4.506004019543846,4.506004019543846,-7.207619518925704,-7.207619518925704,-7.207619518925704,0.0,0.0,0.0,20.812430347193484
2015-01-05,23.51861979543379,3.489598975242982,19.360253978315647,23.51861979543379,23.51861979543379,-12.541875875607163,-12.541875875607163,-12.541875875607163,-5.255168164750755,-5.255168164750755,-5.255168164750755,-7.286707710856408,-7.286707710856408,-7.286707710856408,0.0,0.0,0.0,10.976743919826626
2015-01-06,23.523193744292236,6.307411305826041,21.872632384584595,23.523193744292236,23.523193744292236,-9.384282642184655,-9.384282642184655,-9.384282642184655,-2.0122537273640644,-2.0122537273640644,-2.0122537273640644,-7.372028914820591,-7.372028914820591,-7.372028914820591,0.0,0.0,0.0,14.138911102107581
2015-01-07,23.527767693150683,6.468382823806233,22.11820271041615,23.527767693150683,23.527767693150683,-9.575083563744432,-9.575083563744432,-9.575083563744432,-2.113952891329207,-2.113952891329207,-2.113952891329207,-7.461130672415225,-7.461130672415225,-7.461130672415225,0.0,0.0,0.0,13.95268412940625
2015-01-08,23.53234164200913,8.19864652499074,23.635377883479528,23.53234164200913,23.53234164200913,-7.8547113493045675,-7.8547113493045675,-7.8547113493045675,-0.3032852479960524,-0.3032852479960524,-0.3032852479960524,-7.5514261013085155,-7.5514261013085155,-7.5514261013085155,0.0,0.0,0.0,15.677630292704562
2015-01-09,23.53691559086758,10.305870404896751,25.349368197226188,23.53691559086758,23.53691559086758,-5.889939988417896,-5.889939988417896,-5.889939988417896,1.7503313120130943,1.7503313120130943,1.7503313120130943,-7.640271300430991,-7.640271300430991,-7.640271300430991,0.0,0.0,0.0,17.646975602449682
2015-01-10,23.541489539726026,11.89532036486155,27.561510205513823,23.541489539726026,23.541489539726026,-4.296717664044778,-4.296717664044778,-4.296717664044778,3.428324699868794,3.428324699868794,3.428324699868794,-7.725042363913572,-7.725042363913572,-7.725042363913572,0.0,0.0,0.0,19.24477187568125
2015-01-11,23.546063488584473,12.623608350686812,27.709130653438784,23.546063488584473,23.546063488584473,-3.2972059134525886,-3.2972059134525886,-3.2972059134525886,4.506004019540906,4.506004019540906,4.506004019540906,-7.803209932993495,-7.803209932993495,-7.803209932993495,0.0,0.0,0.0,20.248857575131883
2015-01-12,23.550637437442923,3.083505696862681,18.2978063233006,23.550637437442923,23.550637437442923,-13.127577483534015,-13.127577483534015,-13.127577483534015,-5.255168164746231,-5.255168164746231,-5.255168164746231,-7.872409318787784,-7.872409318787784,-7.872409318787784,0.0,0.0,0.0,10.423059953908908
2015-01-13,23.55521138630137,6.1107608516897,21.81630403792748,23.55521138630137,23.55521138630137,-9.942758111383256,-9.942758111383256,-9.942758111383256,-2.0122537273638343,-2.0122537273638343,-2.0122537273638343,-7.930504384019421,-7.930504384019421,-7.930504384019421,0.0,0.0,0.0,13.612453274918114
2015-01-14,23.559785335159816,5.417329453117997,21.71114856223622,23.559785335159816,23.559785335159816,-10.089596464953436,-10.089596464953436,-10.089596464953436,-2.1139528913131875,-2.1139528913131875,-2.1139528913131875,-7.975643573640248,-7.975643573640248,-7.975643573640248,0.0,0.0,0.0,13.47018887020638
2015-01-15,23.564359284018263,7.6578081399518405,23.218256765211684,23.564359284018263,23.564359284018263,-8.30959197471137,-8.30959197471137,-8.30959197471137,-0.3032852479993154,-0.3032852479993154,-0.3032852479993154,-8.006306726712056,-8.006306726712056,-8.006306726712056,0.0,0.0,0.0,15.254767309306892
2015-01-16,23.56893323287671,9.271876364683303,24.565717263952326,23.56893323287671,23.56893323287671,-6.271010265716843,-6.271010265716843,-6.271010265716843,1.750331312032989,1.750331312032989,1.750331312032989,-8.021341577749832,-8.021341577749832,-8.021341577749832,0.0,0.0,0.0,17.297922967159867
2015-01-17,23.57350718173516,10.846664350560875,26.42710149706303,23.57350718173516,23.57350718173516,-4.591664457176457,-4.591664457176457,-4.591664457176457,3.4283246998748114,3.4283246998748114,3.4283246998748114,-8.019989157051269,-8.019989157051269,-8.019989157051269,0.0,0.0,0.0,18.981842724558703
2015-01-18,23.578081130593606,12.828005285534758,27.88950193661141,23.578081130593606,23.578081130593606,-3.495893598201331,-3.495893598201331,-3.495893598201331,4.506004019544053,4.506004019544053,4.506004019544053,-8.001897617745383,-8.001897617745383,-8.001897617745383,0.0,0.0,0.0,20.082187532392275
2015-01-19,23.582655079452053,2.56084075998645,18.0147388442622,23.582655079452053,23.582655079452053,-13.22229250820914,-13.22229250820914,-13.22229250820914,-5.25516816474903,-5.25516816474903,-5.25516816474903,-7.96712434346011,-7.96712434346011,-7.96712434346011,0.0,0.0,0.0,10.360362571242913
2015-01-20,23.587229028310503,5.997790730861077,21.542167786978208,23.587229028310503,23.587229028310503,-9.928380242929649,-9.928380242929649,-9.928380242929649,-2.0122537273563554,-2.0122537273563554,-2.0122537273563554,-7.916126515573293,-7.916126515573293,-7.916126515573293,0.0,0.0,0.0,13.658848785380854
2015-01-21,23.59180297716895,5.5254156506872825,21.21726506320626,23.59180297716895,23.59180297716895,-9.963693525393087,-9.963693525393087,-9.963693525393087,-2.113952891321225,-2.113952891321225,-2.113952891321225,-7.8497406340718605,-7.8497406340718605,-7.8497406340718605,0.0,0.0,0.0,13.628109451775863
2015-01-22,23.596376926027396,7.741254956052125,23.650563866518894,23.596376926027396,23.596376926027396,-8.072437030563536,-8.072437030563536,-8.072437030563536,-0.3032852480171199,-0.3032852480171199,-0.3032852480171199,-7.769151782546417,-7.769151782546417,-7.769151782546417,0.0,0.0,0.0,15.52393989546386
2015-01-23,23.600950874885843,10.02353038426516,25.38418276103084,23.600950874885843,23.600950874885843,-5.925522385855826,-5.925522385855826,-5.925522385855826,1.750331312017381,1.750331312017381,1.750331312017381,-7.675853697873206,-7.675853697873206,-7.675853697873206,0.0,0.0,0.0,17.67542848903002
2015-01-24,23.60552482374429,12.148374838804564,27.3274912601365,23.60552482374429,23.60552482374429,-4.143276241743594,-4.143276241743594,-4.143276241743594,3.4283246998736656,3.4283246998736656,3.4283246998736656,-7.57160094161726,-7.57160094161726,-7.57160094161726,0.0,0.0,0.0,19.462248582000697
2015-01-25,23.61009877260274,13.084102787725419,28.742067642612984,23.61009877260274,23.61009877260274,-2.9523506474207317,-2.9523506474207317,-2.9523506474207317,4.5060040195464985,4.5060040195464985,4.5060040195464985,-7.45835466696723,-7.45835466696723,-7.45835466696723,0.0,0.0,0.0,20.657748125182007
2015-01-26,23.614672721461186,3.970809232471525,18.845896144560562,23.614672721461186,23.614672721461186,-12.593391792054396,-12.593391792054396,-12.593391792054396,-5.255168164751829,-5.255168164751829,-5.255168164751829,-7.338223627302566,-7.338223627302566,-7.338223627302566,0.0,0.0,0.0,11.02128092940679
